;;;TRATO POR CURRAL;;;;;;;;;;;
Id. Carregamento;Curral;Lote;;Trato;Peso Abastecido (kg);Dieta;;Data;Hora;Vagão;Tratador;Carregamento;%MS Dieta Real;%Ndt Dieta Real
166015520000000;12;12-G2-25;;1;180,0000;TERMINACION SORGO-19/08/2025;;01/09/2025;07:06:26;BAHMAN;AGUSTIN LOPEZ;1 - TERMINACION SORGO-19/08/2025 - BAHMAN - 2025-09-01 06:38;45,10%;78,38%
166015520000000;13;13-G2-25;;1;190,0000;TERMINACION SORGO-19/08/2025;;01/09/2025;07:07:50;BAHMAN;AGUSTIN LOPEZ;1 - TERMINACION SORGO-19/08/2025 - BAHMAN - 2025-09-01 06:38;45,10%;78,38%
166015520000000;14;14-G2-25;;1;190,0000;TERMINACION SORGO-19/08/2025;;01/09/2025;07:08:08;BAHMAN;AGUSTIN LOPEZ;1 - TERMINACION SORGO-19/08/2025 - BAHMAN - 2025-09-01 06:38;45,10%;78,38%
166015520000000;17;17-G1-25;;1;165,0000;TERMINACION SORGO-19/08/2025;;01/09/2025;07:08:46;BAHMAN;AGUSTIN LOPEZ;1 - TERMINACION SORGO-19/08/2025 - BAHMAN - 2025-09-01 06:38;45,10%;78,38%
166015520000000;18;18-G2-25;;1;235,0000;TERMINACION SORGO-19/08/2025;;01/09/2025;07:09:05;BAHMAN;AGUSTIN LOPEZ;1 - TERMINACION SORGO-19/08/2025 - BAHMAN - 2025-09-01 06:38;45,10%;78,38%
166015520000000;20;43-G2-25;;1;130,0000;TERMINACION SORGO-19/08/2025;;01/09/2025;07:09:38;BAHMAN;AGUSTIN LOPEZ;1 - TERMINACION SORGO-19/08/2025 - BAHMAN - 2025-09-01 06:38;45,10%;78,38%
166015520000000;23;23-G2-25;;1;210,0000;TERMINACION SORGO-19/08/2025;;01/09/2025;07:10:19;BAHMAN;AGUSTIN LOPEZ;1 - TERMINACION SORGO-19/08/2025 - BAHMAN - 2025-09-01 06:38;45,10%;78,38%
166015520000000;26;26-G1-25;;1;115,0000;TERMINACION SORGO-19/08/2025;;01/09/2025;07:11:30;BAHMAN;AGUSTIN LOPEZ;1 - TERMINACION SORGO-19/08/2025 - BAHMAN - 2025-09-01 06:38;45,10%;78,38%
166015520000000;31;31-G2-25;;1;290,0000;TERMINACION SORGO-19/08/2025;;01/09/2025;06:58:56;BAHMAN;AGUSTIN LOPEZ;1 - TERMINACION SORGO-19/08/2025 - BAHMAN - 2025-09-01 06:38;45,10%;78,38%
166015520000000;32;32-G2-25;;1;260,0000;TERMINACION SORGO-19/08/2025;;01/09/2025;06:59:15;BAHMAN;AGUSTIN LOPEZ;1 - TERMINACION SORGO-19/08/2025 - BAHMAN - 2025-09-01 06:38;45,10%;78,38%
