;;ITENS DE TRATO;;;;;;;;;;
Data de Inclusão;Id. Carregamento;;Hora;Dieta;;Carregamento;Ingrediente;Quantidade MN (kg);Motorista;Vagão;%MS Dieta Real;%NDT Dieta Real
14/09/2025;166057350000000;;10:13:47;TERMINACION SORGO-19/08/2025;;6;UREIA PECUARIA;42,072000000;RUBEN VIERA;BAHMAN;41,21%;78,60%
14/09/2025;166057350000000;;10:13:47;TERMINACION SORGO-19/08/2025;;6;NUCLEO CONFINAMIENTO;33,288000000;RUBEN VIERA;BAHMAN;41,21%;78,60%
14/09/2025;166057350000000;;10:13:47;TERMINACION SORGO-19/08/2025;;6;CALCAREO;30,264000000;RUBEN VIERA;BAHMAN;41,21%;78,60%
14/09/2025;166057080000000;;09:31:36;CRECIMIENTO SORGO.19/08/2025;;5;MAIZ HUMIDO;1516,000000000;RUBEN VIERA;BAHMAN;38,71%;77,01%
14/09/2025;166057080000000;;09:34:49;CRECIMIENTO SORGO.19/08/2025;;5;FARELO DE SOJA;316,806640777;RUBEN VIERA;BAHMAN;38,71%;77,01%
14/09/2025;166057080000000;;09:34:49;CRECIMIENTO SORGO.19/08/2025;;5;UREIA PECUARIA;39,999611650;RUBEN VIERA;BAHMAN;38,71%;77,01%
14/09/2025;166057080000000;;09:34:49;CRECIMIENTO SORGO.19/08/2025;;5;CALCAREO;28,777048544;RUBEN VIERA;BAHMAN;38,71%;77,01%
14/09/2025;166057080000000;;09:34:49;CRECIMIENTO SORGO.19/08/2025;;5;NUCLEO CONFINAMIENTO;31,651514563;RUBEN VIERA;BAHMAN;38,71%;77,01%
14/09/2025;166057080000000;;09:43:34;CRECIMIENTO SORGO.19/08/2025;;5;Sorgo, silagem;4763,000000000;RUBEN VIERA;BAHMAN;38,71%;77,01%
14/09/2025;166056860000000;;08:55:55;CRECIMIENTO SORGO.19/08/2025;;4;FARELO DE SOJA;313,008000000;RUBEN VIERA;BAHMAN;38,70%;77,07%
14/09/2025;166056860000000;;08:55:55;CRECIMIENTO SORGO.19/08/2025;;4;UREIA PECUARIA;39,520000000;RUBEN VIERA;BAHMAN;38,70%;77,07%
14/09/2025;166056860000000;;08:55:55;CRECIMIENTO SORGO.19/08/2025;;4;CALCAREO;28,432000000;RUBEN VIERA;BAHMAN;38,70%;77,07%
14/09/2025;166056860000000;;08:55:55;CRECIMIENTO SORGO.19/08/2025;;4;NUCLEO CONFINAMIENTO;31,272000000;RUBEN VIERA;BAHMAN;38,70%;77,07%
14/09/2025;166056860000000;;09:04:09;CRECIMIENTO SORGO.19/08/2025;;4;Sorgo, silagem;4763,000000000;RUBEN VIERA;BAHMAN;38,70%;77,07%
14/09/2025;166057080000000;;09:27:53;CRECIMIENTO SORGO.19/08/2025;;5;Sorgo, grão úmido silagem;1298,000000000;RUBEN VIERA;BAHMAN;38,71%;77,01%
14/09/2025;166056730000000;;08:11:09;RECRIA FEMEA 08/08/2025;;3;UREIA PECUARIA;35,264000000;RUBEN VIERA;BAHMAN;35,01%;63,89%
14/09/2025;166056730000000;;08:11:09;RECRIA FEMEA 08/08/2025;;3;NUCLEO CONFINAMIENTO;26,448000000;RUBEN VIERA;BAHMAN;35,01%;63,89%
14/09/2025;166056730000000;;08:11:09;RECRIA FEMEA 08/08/2025;;3;CALCAREO;23,504000000;RUBEN VIERA;BAHMAN;35,01%;63,89%
