;;;DESVIO DO CARREGAMENTO;;;;;;;;;;;
Data;Hora;Pazeiro;;Vagão;Dieta;Nro Carregamento;;Ingrediente;Tipo Ingrediente;Carregado (kg);Previsto (kg);Desvio (kg);Desvio (%);Status
08/09/2025;07:16:10;RUBEN VIERA;;SILOKING;RECRIA FEMEA 08/08/2025;1;;Pré-Mistura;Pré-Mistura;154,25425;155;0,74575;-0,48%;VERDE
08/09/2025;07:15:08;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;2;;Pré-Mistura;Pré-Mistura;449,712;449;0,712;0,16%;VERDE
08/09/2025;06:13:08;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;1;;Pré-Mistura;Pré-Mistura;437;437;0;0,00%;VERDE
14/09/2025;16:24:06;RUBEN VIERA;;BAHMAN;RECRIA FEMEA 08/08/2025;12;;CAPIASU;Vagão;3.981,00;3.981,00;0;0,00%;VERDE
14/09/2025;16:12:45;RUBEN VIERA;;BAHMAN;RECRIA FEMEA 08/08/2025;12;;MAIZ HUMIDO;Vagão;1.466,00;1.466,00;0;0,00%;VERDE
14/09/2025;15:36:49;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;11;;Sorgo, silagem;Vagão;3.612,00;3.607,00;5;0,14%;VERDE
14/09/2025;15:26:46;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;11;;MAIZ HUMIDO;Vagão;1.509,00;1.509,00;0;0,00%;VERDE
14/09/2025;15:23:32;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;11;;Sorgo, grão úmido silagem;Vagão;1.370,00;1.360,00;10;0,74%;VERDE
14/09/2025;14:54:15;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;10;;Sorgo, silagem;Vagão;4.092,00;4.092,00;0;0,00%;VERDE
14/09/2025;14:43:47;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;10;;MAIZ HUMIDO;Vagão;1.311,00;1.311,00;0;0,00%;VERDE
14/09/2025;14:42:04;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;10;;Sorgo, grão úmido silagem;Vagão;1.115,00;1.115,00;0;0,00%;VERDE
14/09/2025;14:12:11;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;9;;Sorgo, silagem;Vagão;4.763,00;4.763,00;0;0,00%;VERDE
14/09/2025;14:00:42;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;9;;MAIZ HUMIDO;Vagão;1.526,00;1.526,00;0;0,00%;VERDE
14/09/2025;13:57:52;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;9;;Sorgo, grão úmido silagem;Vagão;1.298,00;1.298,00;0;0,00%;VERDE
14/09/2025;13:30:37;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;8;;Sorgo, silagem;Vagão;4.763,00;4.763,00;0;0,00%;VERDE
14/09/2025;13:20:28;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;8;;MAIZ HUMIDO;Vagão;1.526,00;1.526,00;0;0,00%;VERDE
14/09/2025;13:17:49;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;8;;Sorgo, grão úmido silagem;Vagão;1.303,00;1.298,00;5;0,39%;VERDE
14/09/2025;11:07:53;RUBEN VIERA;;BAHMAN;RECRIA FEMEA 08/08/2025;7;;CAPIASU;Vagão;4.224,00;4.224,00;0;0,00%;VERDE
14/09/2025;10:56:31;RUBEN VIERA;;BAHMAN;RECRIA FEMEA 08/08/2025;7;;MAIZ HUMIDO;Vagão;1.550,00;1.555,00;-5;-0,32%;VERDE
14/09/2025;10:21:52;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;6;;Sorgo, silagem;Vagão;4.230,00;4.230,00;0;0,00%;VERDE
14/09/2025;10:11:33;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;6;;MAIZ HUMIDO;Vagão;1.774,00;1.769,00;5;0,28%;VERDE
14/09/2025;10:06:52;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;6;;Sorgo, grão úmido silagem;Vagão;1.595,00;1.595,00;0;0,00%;VERDE
14/09/2025;09:43:34;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;5;;Sorgo, silagem;Vagão;4.763,00;4.763,00;0;0,00%;VERDE
14/09/2025;09:31:36;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;5;;MAIZ HUMIDO;Vagão;1.516,00;1.526,00;-10;-0,66%;VERDE
14/09/2025;09:27:53;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;5;;Sorgo, grão úmido silagem;Vagão;1.298,00;1.298,00;0;0,00%;VERDE
14/09/2025;09:04:09;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;4;;Sorgo, silagem;Vagão;4.763,00;4.763,00;0;0,00%;VERDE
14/09/2025;08:53:33;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;4;;MAIZ HUMIDO;Vagão;1.526,00;1.526,00;0;0,00%;VERDE
14/09/2025;08:49:49;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;4;;Sorgo, grão úmido silagem;Vagão;1.298,00;1.298,00;0;0,00%;VERDE
14/09/2025;08:20:29;RUBEN VIERA;;BAHMAN;RECRIA FEMEA 08/08/2025;3;;CAPIASU;Vagão;5.632,00;5.632,00;0;0,00%;VERDE
14/09/2025;08:07:47;RUBEN VIERA;;BAHMAN;RECRIA FEMEA 08/08/2025;3;;MAIZ HUMIDO;Vagão;2.074,00;2.074,00;0;0,00%;VERDE
14/09/2025;07:30:36;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;2;;Sorgo, silagem;Vagão;4.763,00;4.763,00;0;0,00%;VERDE
14/09/2025;07:18:58;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;2;;MAIZ HUMIDO;Vagão;1.521,00;1.526,00;-5;-0,33%;VERDE
14/09/2025;07:16:58;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;2;;Sorgo, grão úmido silagem;Vagão;1.298,00;1.298,00;0;0,00%;VERDE
14/09/2025;06:25:09;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;1;;Sorgo, silagem;Vagão;4.230,00;4.230,00;0;0,00%;VERDE
14/09/2025;06:12:08;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;1;;MAIZ HUMIDO;Vagão;1.764,00;1.769,00;-5;-0,28%;VERDE
14/09/2025;06:08:46;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;1;;Sorgo, grão úmido silagem;Vagão;1.610,00;1.595,00;15;0,94%;VERDE
13/09/2025;17:08:33;RUBEN VIERA;;BAHMAN;RECRIA FEMEA 08/08/2025;12;;CAPIASU;Vagão;3.464,00;3.464,00;0;0,00%;VERDE
13/09/2025;16:59:04;RUBEN VIERA;;BAHMAN;RECRIA FEMEA 08/08/2025;12;;MAIZ HUMIDO;Vagão;1.280,00;1.275,00;5;0,39%;VERDE
13/09/2025;16:20:32;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;11;;Sorgo, silagem;Vagão;3.695,00;3.695,00;0;0,00%;VERDE
13/09/2025;16:08:57;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;11;;MAIZ HUMIDO;Vagão;1.541,00;1.546,00;-5;-0,32%;VERDE
13/09/2025;16:04:40;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;11;;Sorgo, grão úmido silagem;Vagão;1.393,00;1.393,00;0;0,00%;VERDE
13/09/2025;15:31:29;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;10;;Sorgo, silagem;Vagão;4.401,00;4.401,00;0;0,00%;VERDE
13/09/2025;15:19:57;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;10;;MAIZ HUMIDO;Vagão;1.410,00;1.410,00;0;0,00%;VERDE
13/09/2025;15:18:10;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;10;;Sorgo, grão úmido silagem;Vagão;1.204,00;1.199,00;5;0,42%;VERDE
13/09/2025;14:44:14;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;9;;Sorgo, silagem;Vagão;4.763,00;4.763,00;0;0,00%;VERDE
13/09/2025;14:32:57;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;9;;MAIZ HUMIDO;Vagão;1.521,00;1.526,00;-5;-0,33%;VERDE
13/09/2025;14:29:25;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;9;;Sorgo, grão úmido silagem;Vagão;1.308,00;1.298,00;10;0,77%;VERDE
13/09/2025;14:05:20;RUBEN VIERA;;BAHMAN;RECRIA FEMEA 08/08/2025;8;;CAPIASU;Vagão;3.178,00;3.168,00;10;0,32%;VERDE
13/09/2025;13:55:15;RUBEN VIERA;;BAHMAN;RECRIA FEMEA 08/08/2025;8;;MAIZ HUMIDO;Vagão;1.167,00;1.167,00;0;0,00%;VERDE
